FID,IDtramMua,tenTram,capTram,viTriTram,gio,ngay,toaDoX,toaDoY,luongMua,maXa,maHuyen,ghiChu,kinhDo,viDo,day,month,year
0,MUA1,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-01-25,0,0,0.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,25,1,1995
1,MUA2,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-01-29,0,0,6.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,29,1,1995
2,MUA3,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-03-21,0,0,18.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,21,3,1995
3,MUA4,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-03-26,0,0,49.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,26,3,1995
4,MUA5,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-04-03,0,0,7.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,3,4,1995
5,MUA6,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-04-12,0,0,0.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,12,4,1995
6,MUA7,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-04-27,0,0,0.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,27,4,1995
7,MUA8,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-04-30,0,0,1.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,30,4,1995
8,MUA9,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-03,0,0,10.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,3,5,1995
9,MUA10,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-07,0,0,0.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,7,5,1995
10,MUA11,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-11,0,0,8.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,11,5,1995
11,MUA12,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-14,0,0,10.6,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,14,5,1995
12,MUA13,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-16,0,0,3.6,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,16,5,1995
13,MUA14,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-18,0,0,32,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,18,5,1995
14,MUA15,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-20,0,0,9.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,20,5,1995
15,MUA16,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-26,0,0,8.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,26,5,1995
16,MUA17,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-28,0,0,14.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,28,5,1995
17,MUA18,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-31,0,0,0.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,31,5,1995
18,MUA19,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-02,0,0,18.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,2,6,1995
19,MUA20,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-05,0,0,31.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,5,6,1995
20,MUA21,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-08,0,0,0.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,8,6,1995
21,MUA22,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-11,0,0,40.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,11,6,1995
22,MUA23,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-14,0,0,9.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,14,6,1995
23,MUA24,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-18,0,0,3.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,18,6,1995
24,MUA25,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-19,0,0,5.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,19,6,1995
25,MUA26,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-20,0,0,13.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,20,6,1995
26,MUA27,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-21,0,0,12.6,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,21,6,1995
27,MUA28,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-23,0,0,2.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,23,6,1995
28,MUA29,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-25,0,0,18.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,25,6,1995
29,MUA30,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-26,0,0,8.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,26,6,1995
30,MUA31,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-27,0,0,1.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,27,6,1995
31,MUA32,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-28,0,0,23.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,28,6,1995
32,MUA33,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-29,0,0,42.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,29,6,1995
33,MUA34,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-30,0,0,19.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,30,6,1995
34,MUA35,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-01,0,0,22.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,1,7,1995
35,MUA36,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-05,0,0,27.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,5,7,1995
36,MUA37,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-06,0,0,31,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,6,7,1995
37,MUA38,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-07,0,0,12.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,7,7,1995
38,MUA39,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-09,0,0,27.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,9,7,1995
39,MUA40,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-10,0,0,1.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,10,7,1995
40,MUA41,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-12,0,0,5.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,12,7,1995
41,MUA42,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-15,0,0,5.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,15,7,1995
42,MUA43,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-17,0,0,1.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,17,7,1995
43,MUA44,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-22,0,0,47.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,22,7,1995
44,MUA45,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-27,0,0,17.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,27,7,1995
45,MUA46,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-29,0,0,1.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,29,7,1995
46,MUA47,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-30,0,0,16.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,30,7,1995
47,MUA48,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-31,0,0,10.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,31,7,1995
48,MUA49,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-04,0,0,31,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,4,8,1995
49,MUA50,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-06,0,0,0.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,6,8,1995
50,MUA51,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-07,0,0,2.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,7,8,1995
51,MUA52,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-09,0,0,0.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,9,8,1995
52,MUA53,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-10,0,0,6.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,10,8,1995
53,MUA54,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-11,0,0,7.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,11,8,1995
54,MUA55,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-15,0,0,9.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,15,8,1995
55,MUA56,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-16,0,0,31.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,16,8,1995
56,MUA57,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-18,0,0,3.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,18,8,1995
57,MUA58,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-21,0,0,5.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,21,8,1995
58,MUA59,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-22,0,0,21,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,22,8,1995
59,MUA60,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-23,0,0,12.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,23,8,1995
60,MUA61,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-24,0,0,0.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,24,8,1995
61,MUA62,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-25,0,0,93.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,25,8,1995
62,MUA63,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-26,0,0,7.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,26,8,1995
63,MUA64,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-27,0,0,28,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,27,8,1995
64,MUA65,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-28,0,0,2.6,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,28,8,1995
65,MUA66,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-29,0,0,11,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,29,8,1995
66,MUA67,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-08-31,0,0,10.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,31,8,1995
67,MUA68,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-01,0,0,56.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,1,9,1995
68,MUA69,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-02,0,0,38.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,2,9,1995
69,MUA70,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-03,0,0,16.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,3,9,1995
70,MUA71,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-05,0,0,0.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,5,9,1995
71,MUA72,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-08,0,0,56.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,8,9,1995
72,MUA73,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-12,0,0,3.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,12,9,1995
73,MUA74,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-13,0,0,0.6,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,13,9,1995
74,MUA75,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-14,0,0,76.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,14,9,1995
75,MUA76,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-15,0,0,25,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,15,9,1995
76,MUA77,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-16,0,0,5.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,16,9,1995
77,MUA78,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-20,0,0,16.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,20,9,1995
78,MUA79,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-21,0,0,7.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,21,9,1995
79,MUA80,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-22,0,0,4.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,22,9,1995
80,MUA81,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-23,0,0,4.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,23,9,1995
81,MUA82,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-27,0,0,8.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,27,9,1995
82,MUA83,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-28,0,0,67.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,28,9,1995
83,MUA84,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-09-29,0,0,5.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,29,9,1995
84,MUA85,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-03,0,0,54.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,3,10,1995
85,MUA86,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-05,0,0,2.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,5,10,1995
86,MUA87,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-06,0,0,16.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,6,10,1995
87,MUA88,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-07,0,0,17.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,7,10,1995
88,MUA89,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-08,0,0,5.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,8,10,1995
89,MUA90,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-09,0,0,0.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,9,10,1995
90,MUA91,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-10,0,0,5.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,10,10,1995
91,MUA92,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-11,0,0,3.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,11,10,1995
92,MUA93,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-12,0,0,0.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,12,10,1995
93,MUA94,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-13,0,0,0.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,13,10,1995
94,MUA95,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-17,0,0,60.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,17,10,1995
95,MUA96,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-18,0,0,5.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,18,10,1995
96,MUA97,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-19,0,0,65.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,19,10,1995
97,MUA98,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-20,0,0,4.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,20,10,1995
98,MUA99,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-21,0,0,16.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,21,10,1995
99,MUA100,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-22,0,0,21.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,22,10,1995
100,MUA101,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-23,0,0,0.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,23,10,1995
101,MUA102,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-25,0,0,2.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,25,10,1995
102,MUA103,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-29,0,0,0.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,29,10,1995
103,MUA104,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-10-30,0,0,11.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,30,10,1995
104,MUA105,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-11-08,0,0,0.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,8,11,1995
105,MUA106,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-11-09,0,0,7.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,9,11,1995
106,MUA107,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-11-11,0,0,5.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,11,11,1995
107,MUA108,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-11-15,0,0,5.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,15,11,1995
108,MUA109,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-11-16,0,0,2.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,16,11,1995
109,MUA110,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-11-17,0,0,24.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,17,11,1995
110,MUA111,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-11-22,0,0,5.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,22,11,1995
111,MUA112,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-11-25,0,0,0.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,25,11,1995
112,MUA113,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-11-26,0,0,4.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,26,11,1995
113,MUA114,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-12-13,0,0,3.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,13,12,1995
114,MUA115,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-12-17,0,0,35.6,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,17,12,1995
115,MUA116,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-12-18,0,0,40.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,18,12,1995
116,MUA117,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-12-20,0,0,20,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,20,12,1995
117,MUA118,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-01-10,0,0,3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,10,1,1996
118,MUA119,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-01-21,0,0,8.9,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,21,1,1996
119,MUA120,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-04-06,0,0,5.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,6,4,1996
120,MUA121,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-04-08,0,0,13.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,8,4,1996
121,MUA122,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-04-12,0,0,3.6,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,12,4,1996
122,MUA123,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-04-14,0,0,18,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,14,4,1996
123,MUA124,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-04-16,0,0,8.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,16,4,1996
124,MUA125,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-04-19,0,0,9.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,19,4,1996
125,MUA126,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-04-22,0,0,25.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,22,4,1996
126,MUA127,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-04-23,0,0,58.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,23,4,1996
127,MUA128,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-04-28,0,0,40.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,28,4,1996
128,MUA129,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-04-29,0,0,11.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,29,4,1996
129,MUA130,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-04-30,0,0,3.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,30,4,1996
130,MUA131,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-05-02,0,0,0.6,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,2,5,1996
131,MUA132,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-05-03,0,0,8.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,3,5,1996
132,MUA133,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-05-07,0,0,28.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,7,5,1996
133,MUA134,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-05-13,0,0,36.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,13,5,1996
134,MUA135,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1996-05-15,0,0,62.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,15,5,1996
