FID,IDtramMucN,tenTram,gio,ngay,toaDoX,toaDoY,mucNuoc,doCaoDinhT,doCaoChanT,baoDongI,baoDongII,baoDongIII,maXa,maHuyen,ghiChu,kinhDo,viDo,day,month,year
32,MN33,Phú An, ,2008-03-04,0,0,0,1.14,-1.4,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,4,3,2008
33,MN34,Phú An, ,2008-03-05,0,0,0,1.16,-1.52,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,5,3,2008
34,MN35,Phú An, ,2008-03-06,0,0,0,1.13,-1.52,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,6,3,2008
35,MN36,Phú An, ,2008-03-07,0,0,0,1.14,-1.5,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,7,3,2008
36,MN37,Phú An, ,2008-03-08,0,0,0,1.26,-1.29,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,8,3,2008
37,MN38,Phú An, ,2008-03-09,0,0,0,1.37,-1.02,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,9,3,2008
38,MN39,Phú An, ,2008-03-10,0,0,0,1.34,-0.92,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,10,3,2008
39,MN40,Phú An, ,2008-03-11,0,0,0,1.32,-0.85,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,11,3,2008
40,MN41,Phú An, ,2008-03-12,0,0,0,1.34,-1.02,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,12,3,2008
41,MN42,Phú An, ,2008-03-13,0,0,0,1.24,-1.16,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,13,3,2008
42,MN43,Phú An, ,2008-03-14,0,0,0,1.16,-1.4,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,14,3,2008
43,MN44,Phú An, ,2008-03-15,0,0,0,0.93,-1.48,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,15,3,2008
44,MN45,Phú An, ,2008-03-16,0,0,0,1.08,-1.54,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,16,3,2008
45,MN46,Phú An, ,2008-03-17,0,0,0,1.08,-1.68,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,17,3,2008
46,MN47,Phú An, ,2008-03-18,0,0,0,1.06,-1.8,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,18,3,2008
47,MN48,Phú An, ,2008-03-19,0,0,0,1.04,-1.74,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,19,3,2008
48,MN49,Phú An, ,2008-03-20,0,0,0,1.11,-1.52,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,20,3,2008
49,MN50,Phú An, ,2008-03-21,0,0,0,1.09,-1.35,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,21,3,2008
50,MN51,Phú An, ,2008-03-22,0,0,0,1.14,-1.2,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,22,3,2008
51,MN52,Phú An, ,2008-03-23,0,0,0,1.12,-1.06,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,23,3,2008
52,MN53,Phú An, ,2008-03-24,0,0,0,1.16,-1.19,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,24,3,2008
53,MN54,Phú An, ,2008-03-25,0,0,0,1.17,-1.11,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,25,3,2008
54,MN55,Phú An, ,2008-03-26,0,0,0,1.12,-1.16,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,26,3,2008
55,MN56,Phú An, ,2008-03-27,0,0,0,1.05,-1.34,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,27,3,2008
56,MN57,Phú An, ,2008-03-28,0,0,0,0.94,-1.43,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,28,3,2008
